Frequency (MHz),Peak (dBuV)
7.79905,48.02
7.81814,47.31
7.83728,47.17
7.85647,46.89
7.87570,46.46
7.89498,46.46
7.91430,46.32
7.93368,46.18
7.99209,46.75
8.01165,46.46
8.03126,45.33
8.05092,45.19
8.07063,43.21
8.09039,43.07
8.11019,43.07
8.13005,43.21
8.14995,44.34
8.16990,44.63
8.18990,44.48
8.20995,45.19
8.23005,45.19
8.25019,45.19
8.27039,44.63
8.29064,44.63
8.31093,44.48
8.33128,44.34
8.35167,44.20
8.37212,44.20
8.39261,44.20
8.41316,44.20
8.43375,44.20
8.45440,44.06
8.47509,43.92
8.49584,44.06
8.51664,44.20
8.53749,44.20
8.55839,43.35
8.57934,43.64
8.60034,43.64
8.62139,43.49
8.64250,43.35
8.66366,43.35
8.68486,43.35
8.70613,44.34
8.72744,44.63
8.74880,44.63
8.77022,45.05
8.79169,47.03
8.81321,46.89
8.83479,46.75
8.85641,46.61
8.87809,46.61
8.89983,46.46
8.92161,46.32
8.94345,46.18
8.96535,46.18
8.98729,46.32
9.05346,47.03
9.07562,47.03
9.09784,47.03
9.12011,47.17
9.14244,48.02
9.16482,48.02
9.18725,47.88
9.20974,48.02
9.23229,48.02
9.25489,48.02
9.27754,48.02
9.30026,46.18
9.32302,46.18
9.34585,46.18
9.36872,46.18
9.39166,47.17
9.41465,47.17
9.43770,48.16
9.46080,48.30
9.48396,48.73
9.50718,48.73
9.53045,48.02
9.55378,48.02
9.57717,48.02
9.60061,48.16
9.62411,48.44
9.64767,48.59
9.67129,47.31
9.69497,47.03
9.71870,47.03
9.74249,47.03
9.76634,47.17
9.79025,47.88
9.81422,48.02
9.83824,48.02
9.86232,48.02
9.88647,47.88
9.91067,47.03
9.93493,47.17
9.95925,48.02
10.03257,45.33
10.05713,45.05
10.08175,44.20
10.10643,44.20
10.13117,46.46
10.15597,46.61
10.18083,46.61
10.20576,46.46
10.23074,46.18
10.25578,46.18
10.28089,46.04
10.30606,43.21
10.33129,43.35
10.35658,43.35
10.38193,43.21
10.40735,43.21
10.43282,44.20
10.45836,45.19
10.48396,46.32
10.50963,46.46
10.53536,46.46
10.56115,46.89
10.58700,47.03
10.61292,47.03
10.63890,46.18
10.66494,45.76
10.69105,45.62
10.71722,45.33
10.74346,43.49
10.76976,43.35
10.79612,44.06
10.82255,44.20
10.84904,46.46
10.87560,46.46
10.90223,46.18
10.92891,46.04
10.95567,45.19
10.98249,45.19
11.00937,45.05
11.03632,44.77
11.06334,44.91
11.09042,44.91
11.11757,45.05
11.14479,45.19
11.17207,45.33
11.19942,45.47
11.22684,45.62
11.25432,45.62
11.28187,45.62
11.30949,45.47
11.33717,45.33
11.36493,45.19
11.39275,45.33
11.42064,45.47
11.44859,45.33
11.47662,43.21
11.50472,43.21
11.53288,43.07
11.56111,43.21
11.58941,44.48
